date,product_id,product,by_product_id,by_product,province_id,province,lcu_id,district_id,station_id,station,Lat,Long,minimum,maximum,mill_id,mill_name,do_price,wholesale,retail_price,delivered,spot_price_central_punjab,spot_price_southern_punjab,spot_price_northern_punjab
6/22/2011,2,Sugar,17,jodia_bazaar,5,Sindh,14,41,277,Karachi,24.860734,67.001136,,,,,65.7,66.8,,,,,
6/23/2011,2,Sugar,17,jodia_bazaar,5,Sindh,14,41,277,Karachi,24.860734,67.001136,,,,,65.8,66.8,,,,,
6/23/2011,2,Sugar,17,jodia_bazaar,5,Sindh,14,41,277,Karachi,24.860734,67.001136,,,,,66,66.8,,,,,
6/24/2011,2,Sugar,17,jodia_bazaar,5,Sindh,14,41,277,Karachi,24.860734,67.001136,,,,,66.55,66.8,,,,,
6/25/2011,2,Sugar,17,jodia_bazaar,5,Sindh,14,41,277,Karachi,24.860734,67.001136,,,,,66.8,66.8,,,,,
6/27/2011,2,Sugar,17,jodia_bazaar,5,Sindh,14,41,277,Karachi,24.860734,67.001136,,,,,66.2,67.5,,,,,
6/27/2011,2,Sugar,17,jodia_bazaar,5,Sindh,14,41,277,Karachi,24.860734,67.001136,,,,,66.55,67.5,,,,,
6/28/2011,2,Sugar,17,jodia_bazaar,5,Sindh,14,41,277,Karachi,24.860734,67.001136,,,,,66.55,67.5,,,,,
6/28/2011,2,Sugar,17,jodia_bazaar,5,Sindh,14,41,277,Karachi,24.860734,67.001136,,,,,68.7,68.6,,,,,
6/28/2011,2,Sugar,17,jodia_bazaar,5,Sindh,14,41,277,Karachi,24.860734,67.001136,,,,,68.75,68.6,,,,,
6/29/2011,2,Sugar,17,jodia_bazaar,5,Sindh,14,41,277,Karachi,24.860734,67.001136,,,,,67.2,68.7,,,,,
6/29/2011,2,Sugar,17,jodia_bazaar,5,Sindh,14,41,277,Karachi,24.860734,67.001136,,,,,67.25,68.7,,,,,
6/30/2011,2,Sugar,17,jodia_bazaar,5,Sindh,14,41,277,Karachi,24.860734,67.001136,,,,,67.2,68.7,,,,,
